weight_scale,sigma,trials,success_rate,avg_steps,avg_rcp,avg_final_conf,R,T,max_steps
0.05,0.7,5,0.00,50.0,1800.0,0.468,3,0.2,50
0.05,0.8,5,0.00,50.0,1800.0,0.635,3,0.2,50
0.05,0.9,5,0.00,50.0,1800.0,0.670,3,0.2,50
0.05,1.0,5,0.00,50.0,1800.0,0.603,3,0.2,50
0.05,1.1,5,0.00,50.0,1800.0,0.562,3,0.2,50
0.05,1.2,5,0.00,50.0,1800.0,0.567,3,0.2,50
0.05,1.3,5,0.00,50.0,1800.0,0.580,3,0.2,50
0.05,1.4,5,0.00,50.0,1800.0,0.637,3,0.2,50
0.05,1.5,5,0.00,50.0,1800.0,0.563,3,0.2,50
0.05,1.6,5,0.00,50.0,1800.0,0.514,3,0.2,50
0.05,1.7,5,0.00,50.0,1800.0,0.534,3,0.2,50
0.05,1.8,5,0.00,50.0,1800.0,0.526,3,0.2,50
0.05,1.9,5,0.00,50.0,1800.0,0.607,3,0.2,50
0.05,2.0,5,0.00,50.0,1800.0,0.574,3,0.2,50
