trial,trial_seed,sigma,snr,success,steps,final_confidence,rcp,active_cells,weight_scale,R,T
10,1552,1.5,0.67,1,13,0.9994,468.00,4,1.0,3,0.2
11,1553,1.5,0.67,1,10,0.9991,360.00,4,1.0,3,0.2
12,1554,1.5,0.67,1,11,0.9991,396.00,4,1.0,3,0.2
13,1555,1.5,0.67,1,11,0.9993,396.00,4,1.0,3,0.2
14,1556,1.5,0.67,1,16,0.9992,576.00,4,1.0,3,0.2
15,1557,1.5,0.67,1,14,0.9991,504.00,4,1.0,3,0.2
16,1558,1.5,0.67,1,12,0.9993,432.00,4,1.0,3,0.2
17,1559,1.5,0.67,1,11,0.9991,396.00,4,1.0,3,0.2
18,1560,1.5,0.67,1,11,0.9991,396.00,4,1.0,3,0.2
19,1561,1.5,0.67,1,11,0.9991,396.00,4,1.0,3,0.2
0,1642,1.6,0.62,1,14,0.9994,504.00,4,1.0,3,0.2
1,1643,1.6,0.62,1,11,0.9990,396.00,4,1.0,3,0.2
2,1644,1.6,0.62,1,25,0.9995,900.00,4,1.0,3,0.2
3,1645,1.6,0.62,1,13,0.9995,468.00,4,1.0,3,0.2
4,1646,1.6,0.62,1,14,0.9993,504.00,4,1.0,3,0.2
5,1647,1.6,0.62,1,14,0.9994,504.00,4,1.0,3,0.2
6,1648,1.6,0.62,1,13,0.9994,468.00,4,1.0,3,0.2
7,1649,1.6,0.62,1,10,0.9992,360.00,4,1.0,3,0.2
8,1650,1.6,0.62,1,11,0.9991,396.00,4,1.0,3,0.2
9,1651,1.6,0.62,1,17,0.9994,612.00,4,1.0,3,0.2
10,1652,1.6,0.62,1,28,0.9992,1008.00,4,1.0,3,0.2
11,1653,1.6,0.62,1,16,0.9995,576.00,4,1.0,3,0.2
12,1654,1.6,0.62,1,11,0.9989,396.00,4,1.0,3,0.2
13,1655,1.6,0.62,1,10,0.9990,360.00,4,1.0,3,0.2
14,1656,1.6,0.62,1,11,0.9993,396.00,4,1.0,3,0.2
15,1657,1.6,0.62,1,19,0.9995,684.00,4,1.0,3,0.2
16,1658,1.6,0.62,1,12,0.9994,432.00,4,1.0,3,0.2
17,1659,1.6,0.62,1,11,0.9991,396.00,4,1.0,3,0.2
18,1660,1.6,0.62,1,10,0.9992,360.00,4,1.0,3,0.2
19,1661,1.6,0.62,1,16,0.9994,576.00,4,1.0,3,0.2
0,1742,1.7,0.59,1,11,0.9991,396.00,4,1.0,3,0.2
1,1743,1.7,0.59,1,12,0.9994,432.00,4,1.0,3,0.2
2,1744,1.7,0.59,1,12,0.9994,432.00,4,1.0,3,0.2
3,1745,1.7,0.59,1,16,0.9994,576.00,4,1.0,3,0.2
4,1746,1.7,0.59,1,12,0.9991,432.00,4,1.0,3,0.2
5,1747,1.7,0.59,1,19,0.9993,684.00,4,1.0,3,0.2
6,1748,1.7,0.59,1,21,0.9992,756.00,4,1.0,3,0.2
7,1749,1.7,0.59,1,16,0.9995,576.00,4,1.0,3,0.2
8,1750,1.7,0.59,1,18,0.9992,648.00,4,1.0,3,0.2
9,1751,1.7,0.59,1,18,0.9995,648.00,4,1.0,3,0.2
10,1752,1.7,0.59,1,12,0.9994,432.00,4,1.0,3,0.2
11,1753,1.7,0.59,1,12,0.9992,432.00,4,1.0,3,0.2
12,1754,1.7,0.59,1,15,0.9995,540.00,4,1.0,3,0.2
13,1755,1.7,0.59,1,15,0.9994,540.00,4,1.0,3,0.2
14,1756,1.7,0.59,1,10,0.9992,360.00,4,1.0,3,0.2
15,1757,1.7,0.59,1,20,0.9995,720.00,4,1.0,3,0.2
16,1758,1.7,0.59,1,13,0.9993,468.00,4,1.0,3,0.2
17,1759,1.7,0.59,1,11,0.9991,396.00,4,1.0,3,0.2
18,1760,1.7,0.59,1,11,0.9990,396.00,4,1.0,3,0.2
19,1761,1.7,0.59,1,10,0.9991,360.00,4,1.0,3,0.2
0,1842,1.8,0.56,1,33,0.9993,1188.00,4,1.0,3,0.2
1,1843,1.8,0.56,1,20,0.9994,720.00,4,1.0,3,0.2
2,1844,1.8,0.56,1,37,0.9991,1332.00,4,1.0,3,0.2
3,1845,1.8,0.56,1,12,0.9993,432.00,4,1.0,3,0.2
4,1846,1.8,0.56,1,12,0.9993,432.00,4,1.0,3,0.2
5,1847,1.8,0.56,1,10,0.9992,360.00,4,1.0,3,0.2
6,1848,1.8,0.56,1,14,0.9991,504.00,4,1.0,3,0.2
7,1849,1.8,0.56,1,16,0.9994,576.00,4,1.0,3,0.2
