trial,trial_seed,sigma,snr,success,steps,final_confidence,rcp,active_cells,weight_scale,R,T,max_steps,mode,mode_variant,n_effective,R_effective
1,1643,1.6,0.62,1,11,0.9990,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,1644,1.6,0.62,1,25,0.9995,900.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,1742,1.7,0.59,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,1743,1.7,0.59,1,12,0.9994,432.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,1744,1.7,0.59,1,12,0.9994,432.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,1842,1.8,0.56,1,33,0.9993,1188.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,1843,1.8,0.56,1,20,0.9994,720.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,1844,1.8,0.56,1,37,0.9991,1332.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,1942,1.9,0.53,1,16,0.9993,576.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,1943,1.9,0.53,1,30,0.9990,1080.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,1944,1.9,0.53,1,27,0.9980,972.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,2042,2.0,0.50,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,2043,2.0,0.50,1,10,0.9992,360.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,2044,2.0,0.50,1,27,0.9994,972.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,42,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,43,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,44,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
3,45,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
4,46,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
5,47,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
6,48,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
7,49,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
8,50,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
9,51,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
10,52,0.0,999.00,1,11,0.9993,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
11,53,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
12,54,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
13,55,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
14,56,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
15,57,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
16,58,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
17,59,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
18,60,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
19,61,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
20,62,0.0,999.00,1,11,0.9993,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
21,63,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
22,64,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
23,65,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
24,66,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
25,67,0.0,999.00,1,11,0.9994,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
26,68,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
27,69,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
28,70,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
29,71,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
30,72,0.0,999.00,1,11,0.9993,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
31,73,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
32,74,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
33,75,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
34,76,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
35,77,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
36,78,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
37,79,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
38,80,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
39,81,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
40,82,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
41,83,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
42,84,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
43,85,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
44,86,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
45,87,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
46,88,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
47,89,0.0,999.00,1,11,0.9994,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
48,90,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
49,91,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
50,92,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
51,93,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
52,94,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
53,95,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
54,96,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
55,97,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
56,98,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
57,99,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
58,100,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
59,101,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
60,102,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
61,103,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
62,104,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
63,105,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
64,106,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
65,107,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
66,108,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
67,109,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
68,110,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
69,111,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
70,112,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
71,113,0.0,999.00,1,11,0.9993,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
72,114,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
