experiment,layout,grid,obstacle_density,sigma,weight_scale,H,direct_conn,success_rate,avg_rcp,avg_rcp_success,R,R_effective,T,active_cells,avg_conf_success,avg_final_conf,avg_sat_count_success,avg_steps,avg_steps_success,conditional_success,feasible_rate,final_confidence,max_steps,mean_best_acc,mean_best_mse,mean_detour_success,mean_path_success,mode,mode_variant,n_effective,rcp,snr,steps,success,trial,trial_seed,trials
B,,,,1.6,0.2,,,0.04,1800.0,,3,3,0.2,,,0.637,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.7,0.2,,,0.04,1800.0,,3,3,0.2,,,0.645,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.8,0.2,,,0.02,1800.0,,3,3,0.2,,,0.634,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.9,0.2,,,0.04,1800.0,,3,3,0.2,,,0.639,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,2.0,0.2,,,0.02,1800.0,,3,3,0.2,,,0.633,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.0,0.1,,,0.00,432.0,,3,3,0.2,,,0.858,,12.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.1,0.1,,,0.08,1764.0,,3,3,0.2,,,0.835,,49.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.2,0.1,,,0.06,1800.0,,3,3,0.2,,,0.760,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.3,0.1,,,0.14,1800.0,,3,3,0.2,,,0.724,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.4,0.1,,,0.02,1800.0,,3,3,0.2,,,0.663,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.5,0.1,,,0.06,1800.0,,3,3,0.2,,,0.677,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.6,0.1,,,0.06,1800.0,,3,3,0.2,,,0.623,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.7,0.1,,,0.06,1800.0,,3,3,0.2,,,0.628,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.8,0.1,,,0.00,1800.0,,3,3,0.2,,,0.604,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.9,0.1,,,0.02,1800.0,,3,3,0.2,,,0.628,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.0,0.1,,,0.02,1800.0,,3,3,0.2,,,0.644,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.1,0.1,,,0.02,1800.0,,3,3,0.2,,,0.606,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.2,0.1,,,0.00,1800.0,,3,3,0.2,,,0.602,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.3,0.1,,,0.00,1800.0,,3,3,0.2,,,0.587,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.4,0.1,,,0.00,1800.0,,3,3,0.2,,,0.603,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.5,0.1,,,0.00,1800.0,,3,3,0.2,,,0.588,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.6,0.1,,,0.02,1800.0,,3,3,0.2,,,0.587,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.7,0.1,,,0.00,1800.0,,3,3,0.2,,,0.585,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.8,0.1,,,0.00,1800.0,,3,3,0.2,,,0.568,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.9,0.1,,,0.04,1800.0,,3,3,0.2,,,0.594,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,2.0,0.1,,,0.00,1800.0,,3,3,0.2,,,0.567,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.0,0.05,,,0.00,432.0,,3,3,0.2,,,0.635,,12.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.1,0.05,,,0.00,1800.0,,3,3,0.2,,,0.629,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.2,0.05,,,0.00,1800.0,,3,3,0.2,,,0.579,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.3,0.05,,,0.02,1800.0,,3,3,0.2,,,0.588,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.4,0.05,,,0.00,1800.0,,3,3,0.2,,,0.574,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.5,0.05,,,0.00,1800.0,,3,3,0.2,,,0.569,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.6,0.05,,,0.00,1800.0,,3,3,0.2,,,0.552,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.7,0.05,,,0.00,1800.0,,3,3,0.2,,,0.547,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,0.8,0.05,,,0.00,1800.0,,3,3,0.2,,,0.578,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
