trial,base_seed,map_seed,noise_seed,layout,obstacle_density,sigma,grid,R,T,success,feasible,path_exists,penalty_used,steps,final_confidence,rcp,optimal_dist,active_cells,path_len,detour_ratio,n_obstacles,map_hash,mode,mode_variant,n_effective,R_effective
26,42,268,1268,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,6ac23c43fabf1682,binary,binary_quantized,2,5,0
27,42,269,1269,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,569bbaaad985e07b,binary,binary_quantized,2,5,0
28,42,270,1270,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,6397b6e48343e11e,binary,binary_quantized,2,5,0
29,42,271,1271,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,272b3a1803137cd2,binary,binary_quantized,2,5,0
30,42,272,1272,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,a81d383a72286274,binary,binary_quantized,2,5,0
31,42,273,1273,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,c634f616da267397,binary,binary_quantized,2,5,0
32,42,274,1274,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,66d9d4c76c424bee,binary,binary_quantized,2,5,0
33,42,275,1275,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,0865ec18941158ee,binary,binary_quantized,2,5,0
34,42,276,1276,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,ed5c48553c748fc8,binary,binary_quantized,2,5,0
35,42,277,1277,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,bbbb55ee8d6317d8,binary,binary_quantized,2,5,0
36,42,278,1278,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,58f415475a9a931a,binary,binary_quantized,2,5,0
37,42,279,1279,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,7b868ae96a612078,binary,binary_quantized,2,5,0
38,42,280,1280,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,65291f742d2429f5,binary,binary_quantized,2,5,0
39,42,281,1281,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,f9b5dbde217ef9ec,binary,binary_quantized,2,5,0
40,42,282,1282,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,a370ca72b131022b,binary,binary_quantized,2,5,0
41,42,283,1283,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,2dbc2c842e231fbf,binary,binary_quantized,2,5,0
42,42,284,1284,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,29072c451ce97d3e,binary,binary_quantized,2,5,0
43,42,285,1285,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,3cc415989ab8aaa3,binary,binary_quantized,2,5,0
44,42,286,1286,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,99b6978712b134a1,binary,binary_quantized,2,5,0
45,42,287,1287,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,dda9abf31ee6d277,binary,binary_quantized,2,5,0
