trial,base_seed,map_seed,noise_seed,layout,obstacle_density,sigma,grid,R,T,success,feasible,path_exists,penalty_used,steps,final_confidence,rcp,optimal_dist,active_cells,path_len,detour_ratio,n_obstacles,map_hash,mode,mode_variant,n_effective,R_effective
58,42,200,1200,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999491919,45000.0,18,100,0,0.0,10,a74ac1f0d1a9fd4a,adaptive,adaptive_heuristic_n1,1,3,3950
59,42,201,1201,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999794968,45000.0,18,100,0,0.0,10,b8de1a547141c4de,adaptive,adaptive_heuristic_n1,1,3,3450
60,42,202,1202,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999472113,45000.0,18,100,0,0.0,10,0a40291db4aa26f1,adaptive,adaptive_heuristic_n1,1,3,3900
61,42,203,1203,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.43771950727581654,45000.0,18,100,0,0.0,10,9ddad2757dba2b61,adaptive,adaptive_heuristic_n1,1,3,3900
62,42,204,1204,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999676012,45000.0,18,100,0,0.0,10,0b129841db54a404,adaptive,adaptive_heuristic_n1,1,3,3900
63,42,205,1205,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.999999999961356,45000.0,18,100,0,0.0,10,9efaa55b28372239,adaptive,adaptive_heuristic_n1,1,3,4000
64,42,206,1206,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999555658,45000.0,18,100,0,0.0,10,e3bc16073d07b06a,adaptive,adaptive_heuristic_n1,1,3,4000
65,42,207,1207,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.44867728843968796,45000.0,18,100,0,0.0,10,d346fec513de8127,adaptive,adaptive_heuristic_n1,1,3,3450
66,42,208,1208,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999791135,45000.0,18,100,0,0.0,10,9bdc5f131bcbc6ed,adaptive,adaptive_heuristic_n1,1,3,3101
67,42,209,1209,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.42284396429373977,45000.0,18,100,0,0.0,10,de2a08985f127b7c,adaptive,adaptive_heuristic_n1,1,3,3950
68,42,210,1210,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.99999999995539,45000.0,18,100,0,0.0,10,5e4b08e3b90a04dd,adaptive,adaptive_heuristic_n1,1,3,3900
69,42,211,1211,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999362966,45000.0,18,100,0,0.0,10,f3af0fa53ce1067f,adaptive,adaptive_heuristic_n1,1,3,3600
70,42,212,1212,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999674347,45000.0,18,100,0,0.0,10,606a23a3a7c2976c,adaptive,adaptive_heuristic_n1,1,3,3900
71,42,213,1213,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999635056,45000.0,18,100,0,0.0,10,c178c58fae384086,adaptive,adaptive_heuristic_n1,1,3,3850
72,42,214,1214,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999705885,45000.0,18,100,0,0.0,10,884f63e98a7dd63d,adaptive,adaptive_heuristic_n1,1,3,3850
73,42,215,1215,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999661837,45000.0,18,100,0,0.0,10,a33da3458026d744,adaptive,adaptive_heuristic_n1,1,3,4150
74,42,216,1216,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999612544,45000.0,18,100,0,0.0,10,08ad13e0d7f1dfb1,adaptive,adaptive_heuristic_n1,1,3,4100
75,42,217,1217,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.3821450318666673,45000.0,18,100,0,0.0,10,8e4c195c88d42de3,adaptive,adaptive_heuristic_n1,1,3,3700
